iter	RMSE
0	146.0010854
1	139.305237
2	133.3254954
3	127.5338254
4	122.0952258
5	116.8097348
6	112.1205934
7	107.376495
8	103.087068
9	98.96496388
10	95.15162171
11	91.51716743
12	87.98477495
13	84.74423129
14	81.58046794
15	78.51300534
16	75.68920587
17	73.16539936
18	70.57730876
19	68.16991774
20	65.92705629
21	63.84434429
22	61.74217036
23	59.842435
24	58.24834375
25	56.48143979
26	54.82380501
27	53.32300005
28	51.79336276
29	50.2849243
30	49.02048114
31	47.77287478
32	46.54948807
33	45.48857594
34	44.46311563
35	43.56749129
36	42.55361511
37	41.70377206
38	40.89355587
39	39.97415897
40	39.22629437
41	38.48207739
42	37.74282092
43	37.04033978
44	36.36102443
45	35.82346699
46	35.27407117
47	34.67730071
48	34.0729899
49	33.57186838
50	33.12760515
51	32.68423091
52	32.26870309
53	31.83410113
54	31.41949609
55	30.99273929
56	30.66219765
57	30.27362526
58	29.95733167
59	29.68363566
60	29.33556309
61	29.07584379
62	28.82415914
63	28.5702896
64	28.27494473
65	28.07169972
66	28.02714871
67	27.776451
68	27.57032202
69	27.33324021
70	27.13766822
71	26.88918228
72	26.6237654
73	26.4296023
74	26.1926532
75	25.99895999
76	25.96477749
77	25.93147224
78	25.73372514
79	25.56841611
80	25.40298861
81	25.37352755
82	25.07752903
83	24.99698634
84	24.87652635
85	24.7951115
86	24.62153146
87	24.55134275
88	24.35626567
89	24.10495418
90	23.93325954
91	23.76160673
92	23.6103408
93	23.4505029
94	23.31143199
95	23.09032383
96	23.06810253
97	23.0462238
98	22.90473429
99	22.80358016
100	22.73939004
101	22.68175782
102	22.62399716
103	22.49460716
104	22.37125999
105	22.25852736
106	22.15897547
107	22.05770155
108	22.01028722
109	21.8461363
110	21.83056529
111	21.74106732
112	21.59012553
113	21.45258698
114	21.43769629
115	21.31578264
116	21.24533318
117	21.12072448
118	21.02223256
119	20.90132119
120	20.88710379
121	20.78167952
122	20.71298875
123	20.59763735
124	20.46861858
125	20.45544271
126	20.35654925
127	20.31622797
128	20.18792414
129	20.13124944
130	20.0643664
131	19.99199707
132	19.96343701
133	19.93541108
134	19.81103784
135	19.72952432
136	19.66884702
137	19.58858295
138	19.51575442
139	19.4465009
140	19.39565387
141	19.3122012
142	19.26515667
143	19.2331363
144	19.06694153
145	19.01892778
146	18.98932205
147	18.93731189
148	18.77473999
149	18.74520471
150	18.70650295
151	18.65775359
152	18.58060348
153	18.51617102
154	18.49780561
155	18.42656718
156	18.38090491
157	18.22870283
158	18.18361823
159	18.14060714
160	18.07417697
161	18.00609191
162	17.91317557
163	17.85869903
164	17.78370748
165	17.76121483
166	17.75539174
167	17.69820647
168	17.65955213
169	17.6143788
170	17.55589751
171	17.49021759
172	17.42334068
173	17.29078377
174	17.25518757
175	17.2041801
176	17.1720318
177	17.12071879
178	17.06533733
179	17.02646714
180	17.00640682
181	16.95143041
182	16.93263031
183	16.84002592
184	16.77765731
185	16.64581091
186	16.61603362
187	16.57807823
188	16.53162353
189	16.48270411
190	16.43749043
191	16.39397385
192	16.3655952
193	16.34914085
194	16.30146125
195	16.1814944
196	16.10781803
197	16.09125211
198	16.04819071
199	16.02218906
200	16.00695212
201	15.96854178
202	15.92897134
203	15.90493098
204	15.86124199
205	15.8243305
206	15.82005402
207	15.78451188
208	15.77051845
209	15.75694588
210	15.71740381
211	15.68435279
212	15.67131174
213	15.63711004
214	15.60064486
215	15.57006523
216	15.55594001
217	15.52513153
218	15.51292375
219	15.46951172
220	15.44517832
221	15.4314037
222	15.4187861
223	15.3780701
224	15.34996674
225	15.33689001
226	15.31021863
227	15.29775268
228	15.27240843
229	15.23209032
230	15.14033626
231	15.1285616
232	15.10721952
233	15.08793768
234	15.06367742
235	15.04515888
